"","each_day_US"
"9/1/21",39574080
"9/2/21",39749945
"9/3/21",39987278
"9/4/21",40064419
"9/5/21",40116664
"9/6/21",40197199
"9/7/21",40439476
"9/8/21",40617397
"9/9/21",40782828
"9/10/21",41015124
"9/11/21",41093256
"9/12/21",41138182
"9/13/21",41373432
"9/14/21",41516109
"9/15/21",41692469
"9/16/21",41849400
"9/17/21",42060010
"9/18/21",42131322
"9/19/21",42174500
"9/20/21",42353786
"9/21/21",42470854
"9/22/21",42607463
"9/23/21",42735040
"9/24/21",42911599
"9/25/21",42970588
"9/26/21",43022848
"9/27/21",43182615
"9/28/21",43295333
"9/29/21",43416305
"9/30/21",43527649
"10/1/21",43682263
"10/2/21",43729267
"10/3/21",43772872
"10/4/21",43918343
"10/5/21",44013714
"10/6/21",44126704
"10/7/21",44228161
"10/8/21",44359886
"10/9/21",44397588
"10/10/21",44436498
"10/11/21",44533997
"10/12/21",44645121
"10/13/21",44753976
"10/14/21",44840959
"10/15/21",44950800
"10/16/21",44990038
"10/17/21",45021121
"10/18/21",45121161
"10/19/21",45202443
"10/20/21",45294396
"10/21/21",45372328
"10/22/21",45468711
"10/23/21",45500550
"10/24/21",45519123
"10/25/21",45630247
"10/26/21",45699477
"10/27/21",45801855
"10/28/21",45877612
"10/29/21",45972747
"10/30/21",46006617
"10/31/21",46038646
"11/1/21",46150128
"11/2/21",46221098
"11/3/21",46306471
"11/4/21",46388208
"11/5/21",46484904
"11/6/21",46519511
"11/7/21",46555825
"11/8/21",46664869
"11/9/21",46744841
"11/10/21",46840555
"11/11/21",46897227
"11/12/21",47042062
"11/13/21",47085571
"11/14/21",47116792
"11/15/21",47251615
"11/16/21",47338690
"11/17/21",47451380
"11/18/21",47561582
"11/19/21",47688508
"11/20/21",47733313
"11/21/21",47772548
"11/22/21",47918212
"11/23/21",48009502
"11/24/21",48121047
"11/25/21",48160105
"11/26/21",48212811
"11/27/21",48238828
"11/28/21",48281338
"11/29/21",48469081
